,Unnamed: 0,设备编号,资产编号,设备名称,设备型号,设备规格,制造厂,出厂年月,使用部门,安装地点,立卡年月,启用年月,ABC分类,财务分类,原值(元),完好状态,当前管理状态,状态变动日期,使用年限(年),供货商,出厂编号,单价(元),设备属性,生产用途,责任人,备注
113,,5099059,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园001,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-67,12000.0,设备,非生产,,001车间3台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
114,,5099058,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园001,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-66,12000.0,设备,非生产,,001车间3台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
115,,5099057,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园001,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-65,12000.0,设备,非生产,,001车间3台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
116,,5099056,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园007,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-485,12000.0,设备,非生产,,007车间2台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
117,,5099055,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园007,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-921,12000.0,设备,非生产,,007车间2台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
118,,5099054,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园003,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-495,12000.0,设备,非生产,,003车间2台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
119,,5099053,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园003,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-910,12000.0,设备,非生产,,003车间2台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
120,,5099052,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-488,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
121,,5099051,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-913,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
122,,5099050,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-477,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
123,,5099049,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-909,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
124,,5099048,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-912,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
125,,5099047,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-486,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
126,,5099046,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-916,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
127,,5099045,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-914,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
128,,5099044,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-482,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
129,,5099043,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-915,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
130,,5099042,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-911,12000.0,设备,非生产,,共19台，其中004车间12台，德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB.
131,,5099041,,工业大风扇,OM-KQ-7E,13200立方米/分钟,苏州欧比特机械有限公司,2021-06,赤壁子公司,产业园004,2021-07,2021-07,C,,12000.0,完好,在用, ,0,苏州欧比特机械有限公司,OPT-2021-06-496,12000.0,设备,非生产,,"共19台，其中004车间12台，003车间2台，007车间2台，001车间3台。
德国诺得减速一体机、丹麦变频控制系统，直径7.3m，满载电流3.23A，转速20-53，噪音40dB."
136,,4510374,,挂式空调,KFR-32GW（32582）FNCa-A3,1.5P,珠海格力电器股份有限公司,2019-09,赤壁子公司,产业园大门岗亭,2021-06,2021-06,C,,4180.0,完好,在用, ,0,湖北鑫昌德机电设备有限公司,4F9195S007716,4180.0,设备,非生产,朱万军,
185,,1605004,,校直机,MT-2,200KN,南通铭泰机床有限公司,2020-12,赤壁子公司,产业园001车间,2021-06,2021-05,C,,498200.0,完好,在用, ,8,武汉环瑞机电设备有限公司,20201253,498200.0,设备,生产,,冲头最大闭合距离400mm，最大调节量395mm，工作行程20mm，冲头行程50次/分钟。
204,,5411003,,先锋会议系统,定制,,赤壁市春天信息产业有限公司, ,赤壁子公司,产业园,2021-02,2021-01,C,,56281.34,完好,在用, ,0,,,0.0,设备,生产,,
205,,2710020,,长城炮越野皮卡车,CC1032QS60B,,长城汽车股份有限公司,2020-09,赤壁子公司,,2021-02,2021-01,C,,166800.0,完好,在用, ,10,咸宁源华建诚汽车销售服务有限公司,LGWDCF19XLJ074380,166800.0,设备,非生产,,
